,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,298.9,75,0,7.32,PF,1644522253
1,puerto ayora,-0.7393,-90.3518,302.13,85,96,3.13,EC,1644522254
2,punta arenas,-53.15,-70.9167,285.16,57,40,12.86,CL,1644522254
3,birigui,-21.2886,-50.34,302.2,54,72,3.13,BR,1644522121
4,rikitea,-23.1203,-134.9692,299.38,72,89,8.41,PF,1644522255
5,mataura,-46.1927,168.8643,287.3,92,100,1.14,NZ,1644521970
6,busselton,-33.65,115.3333,292.09,62,0,2.09,AU,1644522256
7,inuvik,68.3499,-133.7218,247.71,76,100,1.54,CA,1644522257
8,jamestown,42.097,-79.2353,276.77,68,100,6.69,US,1644522257
9,svetlogorsk,52.6333,29.7333,273.97,95,97,3.15,BY,1644522258
10,butaritari,3.0707,172.7902,300.47,79,24,7.74,KI,1644522259
11,fallon,39.4735,-118.7774,288.66,38,20,0.0,US,1644522259
12,bambous virieux,-20.3428,57.7575,299.29,83,75,1.03,MU,1644522050
13,aswan,24.0934,32.907,287.76,33,0,4.12,EG,1644522260
14,hermanus,-34.4187,19.2345,291.43,77,0,1.55,ZA,1644522261
15,iqaluit,63.7506,-68.5145,251.0,77,100,2.57,CA,1644522261
16,kindia,10.0569,-12.8658,299.03,15,0,0.98,GN,1644522262
17,cherskiy,68.75,161.3,235.81,99,100,2.92,RU,1644522262
18,vaini,-21.2,-175.2,300.65,80,81,9.82,TO,1644522263
19,hithadhoo,-0.6,73.0833,300.63,70,100,3.08,MV,1644522048
20,biggar,55.6167,-3.5167,277.03,89,9,2.68,GB,1644522264
21,beringovskiy,63.05,179.3167,239.94,94,25,1.31,RU,1644522264
22,ushuaia,-54.8,-68.3,283.94,71,75,13.89,AR,1644522237
23,jipijapa,-1.3333,-80.5833,297.87,86,100,1.35,EC,1644522265
24,mount gambier,-37.8333,140.7667,282.1,100,53,1.54,AU,1644522266
25,itarema,-2.9248,-39.9167,301.75,64,89,4.64,BR,1644522267
26,tuktoyaktuk,69.4541,-133.0374,248.15,70,100,3.6,CA,1644522214
27,bluff,-46.6,168.3333,287.48,83,65,5.78,NZ,1644521972
28,bengkulu,-3.8004,102.2655,297.15,78,100,2.31,ID,1644522268
29,rosetta,31.4044,30.4164,286.05,64,78,3.26,EG,1644522269
30,namibe,-15.1961,12.1522,296.43,81,100,2.15,AO,1644522065
31,cape town,-33.9258,18.4232,293.76,60,0,3.09,ZA,1644522269
32,alofi,-19.0595,-169.9187,301.09,83,9,3.6,NU,1644522270
33,tonj,7.2737,28.6822,302.49,20,48,2.95,SS,1644522271
34,yellowknife,62.456,-114.3525,250.05,81,75,6.69,CA,1644521701
35,zonguldak,41.25,31.8333,271.14,91,7,1.89,TR,1644522271
36,sovetskiy,61.3614,63.5842,259.04,95,100,4.95,RU,1644522272
37,bredasdorp,-34.5322,20.0403,290.77,68,0,3.6,ZA,1644522054
38,marzuq,14.4,46.4667,289.9,53,92,1.58,YE,1644522273
39,ulladulla,-35.35,150.4667,292.65,89,100,3.95,AU,1644522273
40,igarka,67.4667,86.5833,245.27,97,6,4.62,RU,1644522274
41,honningsvag,70.9821,25.9704,270.94,72,100,7.25,NO,1644522275
42,esperance,-33.8667,121.9,297.06,47,14,9.04,AU,1644522275
43,siniscola,40.5719,9.6922,278.9,64,0,1.55,IT,1644522276
44,avarua,-21.2078,-159.775,300.18,74,100,3.09,CK,1644522276
45,hohhot,40.8106,111.6522,262.31,67,0,2.0,CN,1644522251
46,burgkirchen,48.2044,13.0999,279.92,75,45,2.27,AT,1644522277
47,tiksi,71.6872,128.8694,249.75,92,100,7.33,RU,1644522278
48,hobart,-42.8794,147.3294,286.07,68,20,3.6,AU,1644522279
49,tuatapere,-46.1333,167.6833,288.05,90,93,1.19,NZ,1644522279
50,yulara,-25.2406,130.9889,295.06,53,0,0.51,AU,1644522340
51,castro,-24.7911,-50.0119,297.08,65,37,2.47,BR,1644522341
52,katsuura,35.1333,140.3,276.16,96,100,10.11,JP,1644522341
53,albany,42.6001,-73.9662,280.47,68,25,4.41,US,1644522342
